VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
8112,MOET HENNESSY USA INC,39523,Cloudy Bay Svgn Bl Marlboro,15.53,22.99,750.0,5728,88955.84000000001,0,0,0,0,48347.26,-88955.84000000001,-inf,0.0,0.0
7245,PROXIMO SPIRITS INC.,2951,Old Bushmills Irish Whiskey,28.78,39.99,1750.0,3087,88843.86,0,0,0,0,38994.78,-88843.86,-inf,0.0,0.0
2242,DELICATO VINEYARDS INC,42462,Gnarly Head Old Vine Znfdl,6.89,9.99,750.0,12885,88777.65000000001,0,0,0,0,7982.65,-88777.65000000001,-inf,0.0,0.0
7239,REMY COINTREAU USA INC,2280,The Botanist Islay Dry Gin,27.4,36.99,750.0,3239,88748.6,0,0,0,0,16978.67,-88748.6,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,38850,Ravenswood Vntrs Bl Cab Svgn,4.65,7.99,750.0,19075,88698.75,0,0,0,0,79528.99,-88698.75,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,8673,Skinnygirl Margarita,7.87,9.99,750.0,11267,88671.29,0,0,0,0,123880.97,-88671.29,-inf,0.0,0.0
480,BACARDI USA INC,2628,Dewars Special RSV 12-Yr,23.43,31.99,750.0,3780,88565.40000000001,0,0,0,0,89286.27,-88565.40000000001,-inf,0.0,0.0
8004,SAZERAC CO INC,3218,Firefly Sweet Tea Vodka,10.23,12.99,750.0,8654,88530.42,0,0,0,0,50293.62,-88530.42,-inf,0.0,0.0
9819,TREASURY WINE ESTATES,19636,Ch St Jean Chard Sonoma Cst,7.99,11.99,750.0,11075,88489.25,0,0,0,0,14836.57,-88489.25,-inf,0.0,0.0
1587,VINEYARD BRANDS INC,7302,Marques de Caceres Rioja Re,6.42,10.99,750.0,13777,88448.34000000001,0,0,0,0,6070.09,-88448.34000000001,-inf,0.0,0.0
